Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-27,46.21956862062879,46.466887881106466,45.680851217108504,46.151004791259766,119393600,0.0,0.0
2019-03-28,46.26853872172843,46.4179107107,45.92082111746392,46.21221923828125,83121600,0.0,0.0
2019-03-29,46.484032858178885,46.5452508326953,46.16814601726294,46.5134162902832,94256000,0.0,0.0
2019-04-01,46.927251007378295,46.937044239391135,46.12896995440294,46.82930374145508,111448000,0.0,0.0
2019-04-02,46.79256001886636,47.61778067826315,46.78276678909198,47.51003646850586,91062800,0.0,0.0
2019-04-03,47.32149897504057,48.117332722356906,47.297010288235846,47.835731506347656,93087200,0.0,0.0
2019-04-04,47.69858511269252,48.0854830767274,47.29454806243566,47.91897201538086,76457200,0.0,0.0
2019-04-05,48.105077264431294,48.26424621898849,47.97774284807516,48.2397575378418,74106400,0.0,0.0
2019-04-08,48.09774027483934,49.030701657230736,48.0781500735999,48.998870849609375,103526800,0.0,0.0
2019-04-09,49.052736890515106,49.672262449204375,48.78582370109514,48.8519401550293,143072800,0.0,0.0
2019-04-10,48.65114196845738,49.155581165809686,48.52870603187103,49.12619400024414,86781200,0.0,0.0
2019-04-11,49.18252110570924,49.21925039500669,48.592378948006534,48.717262268066406,83603200,0.0,0.0
2019-04-12,48.778474331325334,49.00865448023082,48.04630985274721,48.69766616821289,111042800,0.0,0.0
2019-04-15,48.62665479164498,48.9376431025093,48.487076036846325,48.78582000732422,70146400,0.0,0.0
2019-04-16,48.842146631940516,49.30984908115432,48.62175969895994,48.79072189331055,102785600,0.0,0.0
2019-04-17,48.86173277348911,49.80204362242759,48.634003720997036,49.74082565307617,115627200,0.0,0.0
2019-04-18,49.73837962871072,49.99059738931189,49.5914587291137,49.919586181640625,96783200,0.0,0.0
2019-04-22,49.667363421977804,50.18404323358781,49.54737485673578,50.08364486694336,77758000,0.0,0.0
2019-04-23,50.0591663327629,50.872142925354375,49.92938451013641,50.806026458740234,93292000,0.0,0.0
2019-04-24,50.77663858142369,51.05089392050064,50.7007288883898,50.727664947509766,70162400,0.0,0.0
2019-04-25,50.64685181659542,50.87458087342387,50.22811925422104,50.26729965209961,74172800,0.0,0.0
2019-04-26,50.174245559253286,50.19873424126737,49.49350204748269,50.02732467651367,74596400,0.0,0.0
2019-04-29,50.05181241158334,50.43626306923065,49.91958323610341,50.10323715209961,88818800,0.0,0.0
2019-04-30,49.72368281586364,49.80693835741338,48.75643964764018,49.1384391784668,186139600,0.0,0.0
2019-05-01,51.393708637744055,52.72336108195857,51.23453968233717,51.5504264831543,259309200,0.0,0.0
2019-05-02,51.38391275112524,52.07200211398034,50.96518394219303,51.21495056152344,127985200,0.0,0.0
2019-05-03,51.6410297577326,51.873657292541814,51.47941342289526,51.851619720458984,83569600,0.0,0.0
2019-05-06,50.02487803325766,51.13904590831522,49.831430879287,51.0508918762207,129772400,0.0,0.0
2019-05-07,50.4142234378269,50.79132448590607,49.17761970664892,49.67470932006836,155054800,0.0,0.0
2019-05-08,49.439625978506605,50.28198575666228,49.402896694873995,49.68449783325195,105358000,0.0,0.0
2019-05-09,49.07232356110929,49.38575927053315,48.15650511556862,49.15068435668945,139634400,0.0,0.0
2019-05-10,48.5287807136441,48.88029799719785,47.38574284405014,48.469783782958984,164834800,0.1925,0.0
2019-05-13,46.141913447141,46.577003090474356,44.94725296290946,45.652740478515625,229722400,0.0,0.0
2019-05-14,45.82235141081958,46.6310806932334,45.576536537633494,46.37543487548828,146118800,0.0,0.0
2019-05-15,45.78793544379463,47.13499983875651,45.7264817282291,46.930973052978516,106178800,0.0,0.0
2019-05-16,46.68270304142453,47.31198851091056,46.41967932911117,46.724491119384766,132125600,0.0,0.0
2019-05-17,45.950172489483116,46.92605783705903,45.90838441110085,46.45901107788086,131516400,0.0,0.0
